tier,track,primary_track,paper_id,sequence,status,evidence_level,year,venue,title,overview_path,started_on,completed_on,problem_and_assumptions,observation_state_action_control,embodiment_task_data_metrics,failure_modes,research_relevance,next_action,personal_notes
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0831,11,UNREAD,FULL_TEXT_CHECKED,2012,IROS,MuJoCo: A Physics Engine for Model-Based Control,./2012/IROS/2012_IROS_MuJoCo-A-Physics-Engine-for-Model-Based-Control/01_overview.md,,,,,,,,,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0833,12,UNREAD,FULL_TEXT_CHECKED,2017,ICRA,Information Theoretic MPC for Model-Based Reinforcement Learning,./2017/ICRA/2017_ICRA_Information-Theoretic-MPC-for-Model-Based-Reinforcement-Le/01_overview.md,,,,,,,,,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0748,13,UNREAD,FULL_TEXT_CHECKED,2020,ICAPS,PDDLStream: Integrating Symbolic Planners and Blackbox Samplers via Optimistic Adaptive Planning,./2020/ICAPS/2020_ICAPS_PDDLStream-Integrating-Symbolic-Planners-and-Blackbox-Samp/01_overview.md,,,,,,,,,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0666,14,UNREAD,FULL_TEXT_CHECKED,2013,T-RO,Dynamic Whole-Body Motion Generation under Rigid Contacts and Other Unilateral Constraints,./2013/T-RO/2013_T-RO_Dynamic-Whole-Body-Motion-Generation-under-Rigid-Contacts/01_overview.md,,,,,,,,,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0667,15,UNREAD,FULL_TEXT_CHECKED,2014,IJRR,Hierarchical Quadratic Programming: Fast Online Humanoid-Robot Motion Generation,./2014/IJRR/2014_IJRR_Hierarchical-Quadratic-Programming-Fast-Online-Humanoid-Ro/01_overview.md,,,,,,,,,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0668,16,UNREAD,FULL_TEXT_CHECKED,2018,RA-L,Whole-Body Nonlinear Model Predictive Control Through Contacts for Quadrupeds,./2018/RA-L/2018_RA-L_Whole-Body-Nonlinear-Model-Predictive-Control-Through-Cont/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0835,17,UNREAD,FULL_TEXT_CHECKED,1988,Machine Learning,Learning to Predict by the Methods of Temporal Differences,./1988/Machine-Learning/1988_Machine-Learning_Learning-to-Predict-by-the-Methods-of-Temporal-Differences/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0836,18,UNREAD,FULL_TEXT_CHECKED,1992,Machine Learning,Q-Learning,./1992/Machine-Learning/1992_Machine-Learning_Q-Learning/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0837,19,UNREAD,FULL_TEXT_CHECKED,1992,Machine Learning,Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning,./1992/Machine-Learning/1992_Machine-Learning_Simple-Statistical-Gradient-Following-Algorithms-for-Conne/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0838,20,UNREAD,FULL_TEXT_CHECKED,1999,NeurIPS,Policy Gradient Methods for Reinforcement Learning with Function Approximation,./1999/NeurIPS/1999_NeurIPS_Policy-Gradient-Methods-for-Reinforcement-Learning-with-Fu/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0830,21,UNREAD,FULL_TEXT_CHECKED,2011,ICML,PILCO: A Model-Based and Data-Efficient Approach to Policy Search,./2011/ICML/2011_ICML_PILCO-A-Model-Based-and-Data-Efficient-Approach-to-Policy/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0522,22,UNREAD,FULL_TEXT_CHECKED,2011,AISTATS,A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning,./2011/AISTATS/2011_AISTATS_A-Reduction-of-Imitation-Learning-and-Structured-Predictio/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0560,23,UNREAD,FULL_TEXT_CHECKED,2016,JMLR,Learning Neural Network Policies with Guided Policy Search under Unknown Dynamics,./2016/JMLR/2016_JMLR_Learning-Neural-Network-Policies-with-Guided-Policy-Search/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0523,24,UNREAD,FULL_TEXT_CHECKED,2016,NeurIPS,Generative Adversarial Imitation Learning,./2016/NeurIPS/2016_NeurIPS_Generative-Adversarial-Imitation-Learning/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0615,25,UNREAD,FULL_TEXT_CHECKED,2015,ICML,Trust Region Policy Optimization,./2015/ICML/2015_ICML_Trust-Region-Policy-Optimization/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0524,26,UNREAD,FULL_TEXT_CHECKED,2017,arXiv,Proximal Policy Optimization Algorithms,./2017/arxiv/2017_arxiv_Proximal-Policy-Optimization-Algorithms/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0620,27,UNREAD,FULL_TEXT_CHECKED,2018,ICML,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,./2018/ICML/2018_ICML_Soft-Actor-Critic-Off-Policy-Maximum-Entropy-Deep-Reinforc/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0561,28,UNREAD,FULL_TEXT_CHECKED,2017,IROS,Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World,./2017/IROS/2017_IROS_Domain-Randomization-for-Transferring-Deep-Neural-Networks/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0747,29,UNREAD,FULL_TEXT_CHECKED,2021,CoRL,What Matters in Learning from Offline Human Demonstrations for Robot Manipulation,./2021/CoRL/2021_CoRL_What-Matters-in-Learning-from-Offline-Human-Demonstrations/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0636,30,UNREAD,FULL_TEXT_CHECKED,2022,CoRL,Implicit Behavioral Cloning,./2022/CoRL/2022_CoRL_Implicit-Behavioral-Cloning/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0624,31,UNREAD,FULL_TEXT_CHECKED,2022,ICLR,Offline Reinforcement Learning with Implicit Q-Learning,./2022/ICLR/2022_ICLR_Offline-Reinforcement-Learning-with-Implicit-Q-Learning/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0018,32,UNREAD,FULL_TEXT_CHECKED,2021,NeurIPS,Decision Transformer: Reinforcement Learning via Sequence Modeling,./2021/NeurIPS/2021_NeurIPS_Decision-Transformer-Reinforcement-Learning-via-Sequence-M/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0008,33,UNREAD,FULL_TEXT_CHECKED,2020,NeurIPS,Denoising Diffusion Probabilistic Models,./2020/NeurIPS/2020_NeurIPS_Denoising-Diffusion-Probabilistic-Models/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0745,34,UNREAD,FULL_TEXT_CHECKED,2023,ICLR,Flow Matching for Generative Modeling,./2023/ICLR/2023_ICLR_Flow-Matching-for-Generative-Modeling/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0019,35,UNREAD,FULL_TEXT_CHECKED,2023,RSS,Diffusion Policy: Visuomotor Policy Learning via Action Diffusion,./2023/RSS/2023_RSS_Diffusion-Policy-Visuomotor-Policy-Learning-via-Action-Dif/01_overview.md,,,,,,,,,
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0625,36,UNREAD,FULL_TEXT_CHECKED,2024,CoRL,Q-Transformer: Scalable Offline Reinforcement Learning via Autoregressive Q-Functions,./2024/CoRL/2024_CoRL_Q-Transformer-Scalable-Offline-Reinforcement-Learning-via/01_overview.md,,,,,,,,,
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0827,37,UNREAD,FULL_TEXT_CHECKED,1992,ICRA,Planning Optimal Grasps,./1992/ICRA/1992_ICRA_Planning-Optimal-Grasps/01_overview.md,,,,,,,,,
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0848,38,UNREAD,FULL_TEXT_CHECKED,2017,Sensors,GelSight: High-Resolution Robot Tactile Sensors for Estimating Geometry and Force,./2017/Sensors/2017_Sensors_GelSight-High-Resolution-Robot-Tactile-Sensors-for-Estimat/01_overview.md,,,,,,,,,
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0642,39,UNREAD,FULL_TEXT_CHECKED,2014,SIGGRAPH,Contact-Invariant Optimization for Hand Manipulation,./2014/SIGGRAPH/2014_SIGGRAPH_Contact-Invariant-Optimization-for-Hand-Manipulation/01_overview.md,,,,,,,,,
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0645,40,UNREAD,FULL_TEXT_CHECKED,2020,CVPR,GraspNet-1Billion: A Large-Scale Benchmark for General Object Grasping,./2020/CVPR/2020_CVPR_GraspNet-1Billion-A-Large-Scale-Benchmark-for-General-Obje/01_overview.md,,,,,,,,,
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0646,41,UNREAD,FULL_TEXT_CHECKED,2021,ICRA,Contact-GraspNet: Efficient 6-DoF Grasp Generation in Cluttered Scenes,./2021/ICRA/2021_ICRA_Contact-GraspNet-Efficient-6-DoF-Grasp-Generation-in-Clutt/01_overview.md,,,,,,,,,
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0736,42,UNREAD,FULL_TEXT_CHECKED,2022,RSS,Factory: Fast Contact for Robotic Assembly,./2022/RSS/2022_RSS_Factory-Fast-Contact-for-Robotic-Assembly/01_overview.md,,,,,,,,,
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0647,43,UNREAD,FULL_TEXT_CHECKED,2023,T-RO,Global Planning for Contact-Rich Manipulation via Local Smoothing of Quasi-Dynamic Contact Models,./2023/T-RO/2023_T-RO_Global-Planning-for-Contact-Rich-Manipulation-via-Local-Sm/01_overview.md,,,,,,,,,
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0648,44,UNREAD,FULL_TEXT_CHECKED,2024,RSS,Tactile-Driven Non-Prehensile Object Manipulation via Extrinsic Contact Mode Control,./2024/RSS/2024_RSS_Tactile-Driven-Non-Prehensile-Object-Manipulation-via-Extr/01_overview.md,,,,,,,,,
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0649,45,UNREAD,FULL_TEXT_CHECKED,2024,RSS,RoboPack: Learning Tactile-Informed Dynamics Models for Dense Packing,./2024/RSS/2024_RSS_RoboPack-Learning-Tactile-Informed-Dynamics-Models-for-Den/01_overview.md,,,,,,,,,
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0585,46,UNREAD,FULL_TEXT_CHECKED,2025,ICLR,DexTrack: Towards Generalizable Neural Tracking Control for Dexterous Manipulation from Human References,./2025/ICLR/2025_ICLR_DexTrack-Towards-Generalizable-Neural-Tracking-Control-for/01_overview.md,,,,,,,,,
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0005,47,UNREAD,FULL_TEXT_CHECKED,2021,ICML,Learning Transferable Visual Models From Natural Language Supervision,./2021/ICML/2021_ICML_Learning-Transferable-Visual-Models-From-Natural-Language/01_overview.md,,,,,,,,,
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0502,48,UNREAD,FULL_TEXT_CHECKED,2021,CoRL,CLIPort: What and Where Pathways for Robotic Manipulation,./2021/CoRL/2021_CoRL_CLIPort-What-and-Where-Pathways-for-Robotic-Manipulation/01_overview.md,,,,,,,,,
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0023,49,UNREAD,FULL_TEXT_CHECKED,2023,ICML,PaLM-E: An Embodied Multimodal Language Model,./2023/ICML/2023_ICML_PaLM-E-An-Embodied-Multimodal-Language-Model/01_overview.md,,,,,,,,,
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0021,50,UNREAD,FULL_TEXT_CHECKED,2022,arXiv,RT-1: Robotics Transformer for Real-World Control at Scale,./2022/arxiv/2022_arxiv_RT-1-Robotics-Transformer-for-Real-World-Control-at-Scale/01_overview.md,,,,,,,,,
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0022,51,UNREAD,FULL_TEXT_CHECKED,2023,CoRL,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,./2023/CoRL/2023_CoRL_RT-2-Vision-Language-Action-Models-Transfer-Web-Knowledge/01_overview.md,,,,,,,,,
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0038,52,UNREAD,FULL_TEXT_CHECKED,2023,CoRL,VoxPoser: Composable 3D Value Maps for Robotic Manipulation with Language Models,./2023/CoRL/2023_CoRL_VoxPoser-Composable-3D-Value-Maps-for-Robotic-Manipulation/01_overview.md,,,,,,,,,
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0024,53,UNREAD,FULL_TEXT_CHECKED,2024,ICRA,Open X-Embodiment: Robotic Learning Datasets and RT-X Models,./2024/ICRA/2024_ICRA_Open-X-Embodiment-Robotic-Learning-Datasets-and-RT-X-Model/01_overview.md,,,,,,,,,
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0052,54,UNREAD,FULL_TEXT_CHECKED,2024,RSS,Octo: An Open-Source Generalist Robot Policy,./2024/RSS/2024_RSS_Octo-An-Open-Source-Generalist-Robot-Policy/01_overview.md,,,,,,,,,
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0051,55,UNREAD,FULL_TEXT_CHECKED,2024,CoRL,OpenVLA: An Open-Source Vision-Language-Action Model,./2024/CoRL/2024_CoRL_OpenVLA-An-Open-Source-Vision-Language-Action-Model/01_overview.md,,,,,,,,,
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0746,56,UNREAD,FULL_TEXT_CHECKED,2025,RSS,π0: A Vision-Language-Action Flow Model for General Robot Control,./2025/RSS/2025_RSS_pi0-A-Vision-Language-Action-Flow-Model-for-General-Robot/01_overview.md,,,,,,,,,
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0061,57,UNREAD,FULL_TEXT_CHECKED,2025,CoRL,π0.5: a Vision-Language-Action Model with Open-World Generalization,./2025/CoRL/2025_CoRL_pi0.5-a-Vision-Language-Action-Model-with-Open-World-Gener/01_overview.md,,,,,,,,,
CORE,Safety and robot world models,"World models, safety, uncertainty, and recovery",pr-0678,58,UNREAD,FULL_TEXT_CHECKED,2018,NeurIPS Workshop,World Models,./2018/NeurIPS-Workshop/2018_NeurIPS-Workshop_World-Models/01_overview.md,,,,,,,,,
CORE,Safety and robot world models,"World models, safety, uncertainty, and recovery",pr-0682,59,UNREAD,FULL_TEXT_CHECKED,2022,CoRL,DayDreamer: World Models for Physical Robot Learning,./2022/CoRL/2022_CoRL_DayDreamer-World-Models-for-Physical-Robot-Learning/01_overview.md,,,,,,,,,
CORE,Safety and robot world models,"World models, safety, uncertainty, and recovery",pr-0684,60,UNREAD,FULL_TEXT_CHECKED,2024,ICLR,"TD-MPC2: Scalable, Robust World Models for Continuous Control",./2024/ICLR/2024_ICLR_TD-MPC2-Scalable-Robust-World-Models-for-Continuous-Contro/01_overview.md,,,,,,,,,
CORE,Safety and robot world models,"World models, safety, uncertainty, and recovery",pr-0675,61,UNREAD,FULL_TEXT_CHECKED,2017,TAC,Control Barrier Function Based Quadratic Programs for Safety Critical Systems,./2017/TAC/2017_TAC_Control-Barrier-Function-Based-Quadratic-Programs-for-Safe/01_overview.md,,,,,,,,,
CORE,Safety and robot world models,"World models, safety, uncertainty, and recovery",pr-0677,62,UNREAD,FULL_TEXT_CHECKED,2020,RA-L,Recovery RL: Safe Reinforcement Learning with Learned Recovery Zones,./2020/RA-L/2020_RA-L_Recovery-RL-Safe-Reinforcement-Learning-with-Learned-Recov/01_overview.md,,,,,,,,,
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0828,63,UNREAD,FULL_TEXT_CHECKED,2003,ICRA,Biped Walking Pattern Generation by using Preview Control of Zero-Moment Point,./2003/ICRA/2003_ICRA_Biped-Walking-Pattern-Generation-by-using-Preview-Control/01_overview.md,,,,,,,,,
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0851,64,UNREAD,FULL_TEXT_CHECKED,2021,ACM Transactions on Graphics,AMP: Adversarial Motion Priors for Stylized Physics-Based Character Control,./2021/ACM-Transactions-on-Grap/2021_ACM-Transactions-on-Grap_AMP-Adversarial-Motion-Priors-for-Stylized-Physics-Based-C/01_overview.md,,,,,,,,,
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0564,65,UNREAD,FULL_TEXT_CHECKED,2021,RSS,RMA: Rapid Motor Adaptation for Legged Robots,./2021/RSS/2021_RSS_RMA-Rapid-Motor-Adaptation-for-Legged-Robots/01_overview.md,,,,,,,,,
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0656,66,UNREAD,FULL_TEXT_CHECKED,2022,Science Robotics,Learning Robust Perceptive Locomotion for Quadrupedal Robots in the Wild,./2022/Science-Robotics/2022_Science-Robotics_Learning-Robust-Perceptive-Locomotion-for-Quadrupedal-Robo/01_overview.md,,,,,,,,,
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0661,67,UNREAD,FULL_TEXT_CHECKED,2024,Science Robotics,ANYmal Parkour: Learning Agile Navigation for Quadrupedal Robots,./2024/Science-Robotics/2024_Science-Robotics_ANYmal-Parkour-Learning-Agile-Navigation-for-Quadrupedal-R/01_overview.md,,,,,,,,,
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0599,68,UNREAD,FULL_TEXT_CHECKED,2024,RSS,HumanoidBench: Simulated Humanoid Benchmark for Whole-Body Locomotion and Manipulation,./2024/RSS/2024_RSS_HumanoidBench-Simulated-Humanoid-Benchmark-for-Whole-Body/01_overview.md,,,,,,,,,
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0602,69,UNREAD,FULL_TEXT_CHECKED,2024,CoRL,OmniH2O: Universal and Dexterous Human-to-Humanoid Whole-Body Teleoperation and Learning,./2024/CoRL/2024_CoRL_OmniH2O-Universal-and-Dexterous-Human-to-Humanoid-Whole-Bo/01_overview.md,,,,,,,,,
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0574,70,UNREAD,FULL_TEXT_CHECKED,2024,CoRL,Mobile ALOHA: Learning Bimanual Mobile Manipulation using Low-Cost Whole-Body Teleoperation,./2024/CoRL/2024_CoRL_Mobile-ALOHA-Learning-Bimanual-Mobile-Manipulation-using-L/01_overview.md,,,,,,,,,
CORE,Robotics-enabling 3D perception,Robotics-enabling 3D perception,pr-0826,71,UNREAD,FULL_TEXT_CHECKED,1992,IEEE Transactions on Pattern Analysis and Machine Intelligence,A Method for Registration of 3-D Shapes,./1992/IEEE-Transactions-on-Pat/1992_IEEE-Transactions-on-Pat_A-Method-for-Registration-of-3-D-Shapes/01_overview.md,,,,,,,,,
CORE,Robotics-enabling 3D perception,Robotics-enabling 3D perception,pr-0012,72,UNREAD,FULL_TEXT_CHECKED,2017,CVPR,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,./2017/CVPR/2017_CVPR_PointNet-Deep-Learning-on-Point-Sets-for-3D-Classification/01_overview.md,,,,,,,,,
CORE,Robotics-enabling 3D perception,Robotics-enabling 3D perception,pr-0017,73,UNREAD,FULL_TEXT_CHECKED,2021,NeurIPS,"DROID-SLAM: Deep Visual SLAM for Monocular, Stereo, and RGB-D Cameras",./2021/NeurIPS/2021_NeurIPS_DROID-SLAM-Deep-Visual-SLAM-for-Monocular-Stereo-and-RGB-D/01_overview.md,,,,,,,,,
