tier,track,primary_track,paper_id,year,venue,title,overview_path,tags
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0615,2015,ICML,Trust Region Policy Optimization,./2015/ICML/2015_ICML_Trust-Region-Policy-Optimization/01_overview.md,"Robotics, Reinforcement Learning, policy optimization, on-policy RL"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0524,2017,arXiv,Proximal Policy Optimization Algorithms,./2017/arxiv/2017_arxiv_Proximal-Policy-Optimization-Algorithms/01_overview.md,"Reinforcement Learning, policy learning, Robotics"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0620,2018,ICML,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,./2018/ICML/2018_ICML_Soft-Actor-Critic-Off-Policy-Maximum-Entropy-Deep-Reinforc/01_overview.md,"Robotics, Reinforcement Learning, continuous control, maximum entropy"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0561,2017,IROS,Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World,./2017/IROS/2017_IROS_Domain-Randomization-for-Transferring-Deep-Neural-Networks/01_overview.md,"Robotics, sim-to-real, domain randomization, perception"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0747,2021,CoRL,What Matters in Learning from Offline Human Demonstrations for Robot Manipulation,./2021/CoRL/2021_CoRL_What-Matters-in-Learning-from-Offline-Human-Demonstrations/01_overview.md,"Robotics, Imitation Learning, offline learning, robot dataset, Benchmark, robomimic"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0636,2022,CoRL,Implicit Behavioral Cloning,./2022/CoRL/2022_CoRL_Implicit-Behavioral-Cloning/01_overview.md,"Robotics, Imitation Learning, energy-based model, multimodal actions"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0624,2022,ICLR,Offline Reinforcement Learning with Implicit Q-Learning,./2022/ICLR/2022_ICLR_Offline-Reinforcement-Learning-with-Implicit-Q-Learning/01_overview.md,"Robotics, offline reinforcement learning, implicit Q-learning, continuous control"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0018,2021,NeurIPS,Decision Transformer: Reinforcement Learning via Sequence Modeling,./2021/NeurIPS/2021_NeurIPS_Decision-Transformer-Reinforcement-Learning-via-Sequence-M/01_overview.md,"Reinforcement Learning, Transformer, policy"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0008,2020,NeurIPS,Denoising Diffusion Probabilistic Models,./2020/NeurIPS/2020_NeurIPS_Denoising-Diffusion-Probabilistic-Models/01_overview.md,"Diffusion, Generation"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0745,2023,ICLR,Flow Matching for Generative Modeling,./2023/ICLR/2023_ICLR_Flow-Matching-for-Generative-Modeling/01_overview.md,"Flow Matching, generative modeling, continuous normalizing flow, action generation"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0019,2023,RSS,Diffusion Policy: Visuomotor Policy Learning via Action Diffusion,./2023/RSS/2023_RSS_Diffusion-Policy-Visuomotor-Policy-Learning-via-Action-Dif/01_overview.md,"Diffusion, Imitation Learning, Robotics"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0625,2024,CoRL,Q-Transformer: Scalable Offline Reinforcement Learning via Autoregressive Q-Functions,./2024/CoRL/2024_CoRL_Q-Transformer-Scalable-Offline-Reinforcement-Learning-via/01_overview.md,"Robotics, offline reinforcement learning, Transformer, robot manipulation"
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0827,1992,ICRA,Planning Optimal Grasps,./1992/ICRA/1992_ICRA_Planning-Optimal-Grasps/01_overview.md,"Robotics, Grasp Planning, manipulation, contact"
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0848,2017,Sensors,GelSight: High-Resolution Robot Tactile Sensors for Estimating Geometry and Force,./2017/Sensors/2017_Sensors_GelSight-High-Resolution-Robot-Tactile-Sensors-for-Estimat/01_overview.md,"Robotics, tactile sensing, Force, contact, manipulation"
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0642,2014,SIGGRAPH,Contact-Invariant Optimization for Hand Manipulation,./2014/SIGGRAPH/2014_SIGGRAPH_Contact-Invariant-Optimization-for-Hand-Manipulation/01_overview.md,"Robotics, contact-rich manipulation, trajectory optimization, contact invariant"
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0645,2020,CVPR,GraspNet-1Billion: A Large-Scale Benchmark for General Object Grasping,./2020/CVPR/2020_CVPR_GraspNet-1Billion-A-Large-Scale-Benchmark-for-General-Obje/01_overview.md,"Robotics, grasping, Benchmark, 6-DoF grasp"
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0646,2021,ICRA,Contact-GraspNet: Efficient 6-DoF Grasp Generation in Cluttered Scenes,./2021/ICRA/2021_ICRA_Contact-GraspNet-Efficient-6-DoF-Grasp-Generation-in-Clutt/01_overview.md,"Robotics, grasping, contact prediction, 6-DoF grasp"
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0736,2022,RSS,Factory: Fast Contact for Robotic Assembly,./2022/RSS/2022_RSS_Factory-Fast-Contact-for-Robotic-Assembly/01_overview.md,"Robotics, assembly, contact-rich manipulation, simulation, Reinforcement Learning, sim-to-real"
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0647,2023,T-RO,Global Planning for Contact-Rich Manipulation via Local Smoothing of Quasi-Dynamic Contact Models,./2023/T-RO/2023_T-RO_Global-Planning-for-Contact-Rich-Manipulation-via-Local-Sm/01_overview.md,"Robotics, contact-rich manipulation, Planning, quasi-dynamic model"
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0648,2024,RSS,Tactile-Driven Non-Prehensile Object Manipulation via Extrinsic Contact Mode Control,./2024/RSS/2024_RSS_Tactile-Driven-Non-Prehensile-Object-Manipulation-via-Extr/01_overview.md,"Robotics, contact-rich manipulation, tactile sensing, non-prehensile manipulation"
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0649,2024,RSS,RoboPack: Learning Tactile-Informed Dynamics Models for Dense Packing,./2024/RSS/2024_RSS_RoboPack-Learning-Tactile-Informed-Dynamics-Models-for-Den/01_overview.md,"Robotics, contact-rich manipulation, tactile sensing, dynamics model"
CORE,"Manipulation, contact, tactile, and dexterity","Manipulation, contact, tactile, and dexterity",pr-0585,2025,ICLR,DexTrack: Towards Generalizable Neural Tracking Control for Dexterous Manipulation from Human References,./2025/ICLR/2025_ICLR_DexTrack-Towards-Generalizable-Neural-Tracking-Control-for/01_overview.md,"Robotics, dexterous manipulation, tracking control, human demonstration"
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0005,2021,ICML,Learning Transferable Visual Models From Natural Language Supervision,./2021/ICML/2021_ICML_Learning-Transferable-Visual-Models-From-Natural-Language/01_overview.md,"CLIP, Vision-Language Model, alignment"
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0502,2021,CoRL,CLIPort: What and Where Pathways for Robotic Manipulation,./2021/CoRL/2021_CoRL_CLIPort-What-and-Where-Pathways-for-Robotic-Manipulation/01_overview.md,"Robotics, Vision-Language-Action, CLIP, manipulation"
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0023,2023,ICML,PaLM-E: An Embodied Multimodal Language Model,./2023/ICML/2023_ICML_PaLM-E-An-Embodied-Multimodal-Language-Model/01_overview.md,"LLM, Vision-Language, Robotics"
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0021,2022,arXiv,RT-1: Robotics Transformer for Real-World Control at Scale,./2022/arxiv/2022_arxiv_RT-1-Robotics-Transformer-for-Real-World-Control-at-Scale/01_overview.md,"VLA, Robotics, Imitation Learning"
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0022,2023,CoRL,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,./2023/CoRL/2023_CoRL_RT-2-Vision-Language-Action-Models-Transfer-Web-Knowledge/01_overview.md,"VLA, Vision-Language Model, Robotics"
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0038,2023,CoRL,VoxPoser: Composable 3D Value Maps for Robotic Manipulation with Language Models,./2023/CoRL/2023_CoRL_VoxPoser-Composable-3D-Value-Maps-for-Robotic-Manipulation/01_overview.md,"LLM, VLM, Planning, Robotics"
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0024,2024,ICRA,Open X-Embodiment: Robotic Learning Datasets and RT-X Models,./2024/ICRA/2024_ICRA_Open-X-Embodiment-Robotic-Learning-Datasets-and-RT-X-Model/01_overview.md,"Robotics, Dataset, Imitation Learning"
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0052,2024,RSS,Octo: An Open-Source Generalist Robot Policy,./2024/RSS/2024_RSS_Octo-An-Open-Source-Generalist-Robot-Policy/01_overview.md,"Robotics, generalist policy, Imitation Learning"
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0051,2024,CoRL,OpenVLA: An Open-Source Vision-Language-Action Model,./2024/CoRL/2024_CoRL_OpenVLA-An-Open-Source-Vision-Language-Action-Model/01_overview.md,"VLA, Robotics, Imitation Learning"
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0746,2025,RSS,π0: A Vision-Language-Action Flow Model for General Robot Control,./2025/RSS/2025_RSS_pi0-A-Vision-Language-Action-Flow-Model-for-General-Robot/01_overview.md,"Robotics, VLA, Flow Matching, generalist policy, cross-embodiment, dexterous manipulation"
CORE,VLA and generalist robot policies,VLA and generalist robot policies,pr-0061,2025,CoRL,π0.5: a Vision-Language-Action Model with Open-World Generalization,./2025/CoRL/2025_CoRL_pi0.5-a-Vision-Language-Action-Model-with-Open-World-Gener/01_overview.md,"VLA, open-world, Robotics"
CORE,Safety and robot world models,"World models, safety, uncertainty, and recovery",pr-0678,2018,NeurIPS Workshop,World Models,./2018/NeurIPS-Workshop/2018_NeurIPS-Workshop_World-Models/01_overview.md,"Robotics, world model, latent dynamics, model-based reinforcement learning"
CORE,Safety and robot world models,"World models, safety, uncertainty, and recovery",pr-0682,2022,CoRL,DayDreamer: World Models for Physical Robot Learning,./2022/CoRL/2022_CoRL_DayDreamer-World-Models-for-Physical-Robot-Learning/01_overview.md,"Robotics, world model, real robot, model-based reinforcement learning"
CORE,Safety and robot world models,"World models, safety, uncertainty, and recovery",pr-0684,2024,ICLR,"TD-MPC2: Scalable, Robust World Models for Continuous Control",./2024/ICLR/2024_ICLR_TD-MPC2-Scalable-Robust-World-Models-for-Continuous-Contro/01_overview.md,"Robotics, world model, continuous control, model predictive control"
CORE,Safety and robot world models,"World models, safety, uncertainty, and recovery",pr-0675,2017,TAC,Control Barrier Function Based Quadratic Programs for Safety Critical Systems,./2017/TAC/2017_TAC_Control-Barrier-Function-Based-Quadratic-Programs-for-Safe/01_overview.md,"Robotics, control barrier function, safety-critical control, quadratic programming"
CORE,Safety and robot world models,"World models, safety, uncertainty, and recovery",pr-0677,2020,RA-L,Recovery RL: Safe Reinforcement Learning with Learned Recovery Zones,./2020/RA-L/2020_RA-L_Recovery-RL-Safe-Reinforcement-Learning-with-Learned-Recov/01_overview.md,"Robotics, safe reinforcement learning, recovery policy, real robot"
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0828,2003,ICRA,Biped Walking Pattern Generation by using Preview Control of Zero-Moment Point,./2003/ICRA/2003_ICRA_Biped-Walking-Pattern-Generation-by-using-Preview-Control/01_overview.md,"Robotics, humanoid, locomotion, ZMP, Control"
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0851,2021,ACM Transactions on Graphics,AMP: Adversarial Motion Priors for Stylized Physics-Based Character Control,./2021/ACM-Transactions-on-Grap/2021_ACM-Transactions-on-Grap_AMP-Adversarial-Motion-Priors-for-Stylized-Physics-Based-C/01_overview.md,"Robotics, humanoid, Reinforcement Learning, motion imitation, whole-body control"
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0564,2021,RSS,RMA: Rapid Motor Adaptation for Legged Robots,./2021/RSS/2021_RSS_RMA-Rapid-Motor-Adaptation-for-Legged-Robots/01_overview.md,"Robotics, locomotion, sim-to-real, online adaptation"
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0656,2022,Science Robotics,Learning Robust Perceptive Locomotion for Quadrupedal Robots in the Wild,./2022/Science-Robotics/2022_Science-Robotics_Learning-Robust-Perceptive-Locomotion-for-Quadrupedal-Robo/01_overview.md,"Robotics, quadruped locomotion, perception, rough terrain"
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0661,2024,Science Robotics,ANYmal Parkour: Learning Agile Navigation for Quadrupedal Robots,./2024/Science-Robotics/2024_Science-Robotics_ANYmal-Parkour-Learning-Agile-Navigation-for-Quadrupedal-R/01_overview.md,"Robotics, quadruped locomotion, parkour, Navigation"
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0599,2024,RSS,HumanoidBench: Simulated Humanoid Benchmark for Whole-Body Locomotion and Manipulation,./2024/RSS/2024_RSS_HumanoidBench-Simulated-Humanoid-Benchmark-for-Whole-Body/01_overview.md,"Robotics, humanoid, Benchmark, whole-body control, loco-manipulation"
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0602,2024,CoRL,OmniH2O: Universal and Dexterous Human-to-Humanoid Whole-Body Teleoperation and Learning,./2024/CoRL/2024_CoRL_OmniH2O-Universal-and-Dexterous-Human-to-Humanoid-Whole-Bo/01_overview.md,"Robotics, humanoid, whole-body teleoperation, loco-manipulation, Imitation Learning"
CORE,"Locomotion, mobile manipulation, and humanoid systems","Locomotion, whole-body, mobile manipulation, and humanoids",pr-0574,2024,CoRL,Mobile ALOHA: Learning Bimanual Mobile Manipulation using Low-Cost Whole-Body Teleoperation,./2024/CoRL/2024_CoRL_Mobile-ALOHA-Learning-Bimanual-Mobile-Manipulation-using-L/01_overview.md,"Robotics, mobile manipulation, bimanual manipulation, teleoperation"
CORE,Robotics-enabling 3D perception,Robotics-enabling 3D perception,pr-0826,1992,IEEE Transactions on Pattern Analysis and Machine Intelligence,A Method for Registration of 3-D Shapes,./1992/IEEE-Transactions-on-Pat/1992_IEEE-Transactions-on-Pat_A-Method-for-Registration-of-3-D-Shapes/01_overview.md,"Robotics, 3D Registration, ICP, state estimation"
CORE,Robotics-enabling 3D perception,Robotics-enabling 3D perception,pr-0012,2017,CVPR,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,./2017/CVPR/2017_CVPR_PointNet-Deep-Learning-on-Point-Sets-for-3D-Classification/01_overview.md,"3D geometry, point cloud, representation"
CORE,Robotics-enabling 3D perception,Robotics-enabling 3D perception,pr-0017,2021,NeurIPS,"DROID-SLAM: Deep Visual SLAM for Monocular, Stereo, and RGB-D Cameras",./2021/NeurIPS/2021_NeurIPS_DROID-SLAM-Deep-Visual-SLAM-for-Monocular-Stereo-and-RGB-D/01_overview.md,"SLAM, RGB-D, geometry"
CORE,Robotics-enabling 3D perception,Robotics-enabling 3D perception,pr-0011,2023,SIGGRAPH,3D Gaussian Splatting for Real-Time Radiance Field Rendering,./2023/SIGGRAPH/2023_SIGGRAPH_3D-Gaussian-Splatting-for-Real-Time-Radiance-Field-Renderi/01_overview.md,"Gaussian Splatting, 3D reconstruction, representation"
CORE,Robotics-enabling 3D perception,Robotics-enabling 3D perception,pr-0030,2023,RSS,ConceptFusion: Open-set Multimodal 3D Mapping,./2023/RSS/2023_RSS_ConceptFusion-Open-set-Multimodal-3D-Mapping/01_overview.md,"sensor fusion, open-vocabulary, SLAM, Robotics"
CORE,Robotics-enabling 3D perception,Robotics-enabling 3D perception,pr-0037,2023,CoRL,RVT: Robotic View Transformer for 3D Object Manipulation,./2023/CoRL/2023_CoRL_RVT-Robotic-View-Transformer-for-3D-Object-Manipulation/01_overview.md,"Robotics, 3D manipulation, Transformer"
CORE,Robotics-enabling 3D perception,Robotics-enabling 3D perception,pr-0046,2024,CVPR,DUSt3R: Geometric 3D Vision Made Easy,./2024/CVPR/2024_CVPR_DUSt3R-Geometric-3D-Vision-Made-Easy/01_overview.md,"3D reconstruction, calibration, geometry"
NEXT,"Planning, control, simulation, and TAMP extensions",Planning and control,pr-0832,2015,IJCAI,Logic-Geometric Programming: An Optimization-Based Approach to Combined Task and Motion Planning,./2015/IJCAI/2015_IJCAI_Logic-Geometric-Programming-An-Optimization-Based-Approach/01_overview.md,"Robotics, Planning, task and motion planning, optimization"
NEXT,"Planning, control, simulation, and TAMP extensions",Planning and control,pr-0834,2018,The International Journal of Robotics Research,FFRob: Leveraging Symbolic Planning for Efficient Task and Motion Planning,./2018/The-International-Journa/2018_The-International-Journa_FFRob-Leveraging-Symbolic-Planning-for-Efficient-Task-and/01_overview.md,"Robotics, Planning, task and motion planning, manipulation"
NEXT,"Planning, control, simulation, and TAMP extensions",Planning and control,pr-0879,2025,RSS,Kinodynamic Trajectory Following with STELA: Simultaneous Trajectory Estimation & Local Adaptation,./2025/RSS/2025_RSS_Kinodynamic-Trajectory-Following-with-STELA-Simultaneous-T/01_overview.md,"Robotics, trajectory following, state estimation, motion planning, online adaptation, mobile robot"
NEXT,"Planning, control, simulation, and TAMP extensions",Planning and control,pr-0923,2025,AAAI,Instruction-Augmented Long-Horizon Planning: Embedding Grounding Mechanisms in Embodied Mobile Manipulation,./2025/AAAI/2025_AAAI_Instruction-Augmented-Long-Horizon-Planning-Embedding-Grou/01_overview.md,"Robotics, task and motion planning, PDDL, mobile manipulation, long-horizon, language grounding, real-world"
NEXT,"Planning, control, simulation, and TAMP extensions",Planning and control,pr-0922,2025,AAAI,Neural Assembler: Learning to Generate Fine-Grained Robotic Assembly Instructions from Multi-View Images,./2025/AAAI/2025_AAAI_Neural-Assembler-Learning-to-Generate-Fine-Grained-Robotic/01_overview.md,"Robotics, assembly, multi-view, 3D correspondence, task planning, Benchmark"
NEXT,"Planning, control, simulation, and TAMP extensions",Planning and control,pr-0195,2026,ICRA,Open-Vocabulary Spatio-Temporal Scene Graph for Robot Perception and Teleoperation Planning,./2026/ICRA/2026_ICRA_Open-Vocabulary-Spatio-Temporal-Scene-Graph-for-Robot-Perc/01_overview.md,"Robotics, Graph Reasoning, semantic"
NEXT,"Planning, control, simulation, and TAMP extensions",Planning and control,pr-0767,2024,CVPR,Lookahead Exploration with Neural Radiance Representation for Continuous Vision-Language Navigation,./2024/CVPR/2024_CVPR_Lookahead-Exploration-with-Neural-Radiance-Representation/01_overview.md,"Vision-Language Navigation, NeRF, Planning"
NEXT,"Planning, control, simulation, and TAMP extensions",Planning and control,pr-0288,2025,IROS,FOCI: Trajectory Optimization on Gaussian Splats,./2025/IROS/2025_IROS_FOCI-Trajectory-Optimization-on-Gaussian-Splats/01_overview.md,Gaussian Splatting
NEXT,"Planning, control, simulation, and TAMP extensions",Planning and control,pr-0929,2024,RSS,Partially Observable Task and Motion Planning with Uncertainty and Risk Awareness,./2024/RSS/2024_RSS_Partially-Observable-Task-and-Motion-Planning-with-Uncerta/01_overview.md,"Robotics, TAMP, POMDP, uncertainty, risk-aware planning, closed-loop control"
