paper_id,title,year,venue,publication_kind,publication_status,category,primary_track,tier,sequence,roles,facets,evidence_level,reading_status,curation_status,identifier_status,primary_source_scope,primary_source,code_status,data_status,resource_ids,admission_reason,tier_reason,outgoing_relations,incoming_relation_count,overview_path
pr-0641,Controllability of Pushing,1995,ICRA,conference,peer_reviewed,Robotics Foundations: Contact and Whole-Body Control,"Locomotion, whole-body, mobile manipulation, and humanoids",REFERENCE,,foundation,"{""learning"":[],""interaction"":[""contact_rich"",""grasping"",""whole_body""],""modality"":[],""control_level"":[""feedback_control"",""whole_body""],""setting"":[],""embodiment"":[""arm""]}",FULL_TEXT_CHECKED,N/A,recorded,source_only,paper_specific,https://www.cs.cmu.edu/afs/cs/Web/People/mlab/stable/papers.html,not_released,not_recorded,,"Controllability of Pushing is retained as REFERENCE because it provides a reusable formulation or system primitive around Robotics, contact-rich manipulation, pushing for targeted comparison in Locomotion, whole-body, mobile manipulation, and humanoids; it is not required for the current intensive reading spine.","Important on-demand reference, but not required in the current intensive sequence.",[],0,./1995/ICRA/1995_ICRA_Controllability-of-Pushing/01_overview.md
pr-0551,Probabilistic Roadmaps for Path Planning in High-Dimensional Configuration Spaces,1996,IEEE T-RA,journal,peer_reviewed,Robotics Foundations: Planning and Control,Planning and control,CORE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[],""modality"":[],""control_level"":[""feedback_control"",""motion_planning""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,UNREAD,recorded,source_only,paper_specific,https://kavrakilab.rice.edu/publications/kavraki-svestka1996probabilistic-roadmaps-for.html,not_released,not_recorded,metric:map,"Probabilistic Roadmaps for Path Planning in High-Dimensional Configuration Spaces is a CORE prerequisite because it establishes a reusable formulation or system primitive around Robotics, motion planning, PRM, providing a reference point for Planning and control comparisons in the observation-to-action loop.",Common foundation and prerequisite for the Planning and control spine.,[],0,./1996/IEEE-T-RA/1996_IEEE-T-RA_Probabilistic-Roadmaps-for-Path-Planning-in-High-Dimension/01_overview.md
pr-0821,Planning and Acting in Partially Observable Stochastic Domains,1998,Artificial Intelligence,journal,peer_reviewed,Robotics Foundations: Planning and Control,Planning and control,CORE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[],""modality"":[],""control_level"":[""feedback_control""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,READ,recorded,source_only,paper_specific,https://www.sciencedirect.com/science/article/pii/S000437029800023X,not_identified,not_recorded,metric:map,"POMDP의 대표적인 고전 논문. MDP/POMDP formulation, belief-state planning, finite-memory controller를 정리해 RP-2의 partial observability, failure diagnosis, recovery decision을 개념적으로 연결하는 prerequisite다.",Common foundation and prerequisite for the Planning and control spine.,[],0,./1998/Artificial-Intelligence/1998_Artificial-Intelligence_Planning-and-Acting-in-Partially-Observable-Stochastic-Dom/01_overview.md
pr-0552,Rapidly-Exploring Random Trees: A New Tool for Path Planning,1998,Technical Report,technical_report,technical_report,Robotics Foundations: Planning and Control,Planning and control,CORE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[],""modality"":[],""control_level"":[""feedback_control"",""motion_planning""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,UNREAD,recorded,source_only,paper_specific,https://lavalle.pl/rrtpubs.html,not_released,not_recorded,metric:map,"Rapidly-Exploring Random Trees: A New Tool for Path Planning is a CORE prerequisite because it establishes a reusable formulation or system primitive around Robotics, motion planning, RRT, providing a reference point for Planning and control comparisons in the observation-to-action loop.",Common foundation and prerequisite for the Planning and control spine.,[],0,./1998/Technical-Report/1998_Technical-Report_Rapidly-Exploring-Random-Trees-A-New-Tool-for-Path-Plannin/01_overview.md
pr-0838,Policy Gradient Methods for Reinforcement Learning with Function Approximation,1999,NeurIPS,conference,peer_reviewed,Robotics Foundations: Robot Learning,"RL, IL, offline learning, and robot data",CORE,,foundation,"{""learning"":[""reinforcement_learning""],""interaction"":[""contact_rich""],""modality"":[""force_torque""],""control_level"":[""policy""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,UNREAD,recorded,source_only,paper_specific,https://proceedings.neurips.cc/paper/1999/hash/464d828b85b0bed98e80ade0a5c43b0f-Abstract.html,not_identified,not_recorded,metric:success-rate,function approximation 하 policy-gradient theorem과 actor-critic 구조를 정립한 핵심 RL foundation이다.,"Common foundation and prerequisite for the RL, IL, offline learning, and robot data spine.","[{""type"":""builds_on"",""paper_id"":""pr-0837"",""confidence"":""verified""}]",1,./1999/NeurIPS/1999_NeurIPS_Policy-Gradient-Methods-for-Reinforcement-Learning-with-Fu/01_overview.md
pr-0591,A Realtime Pattern Generator for Biped Walking,2002,ICRA,conference,peer_reviewed,Robotics Foundations: Planning and Control,"Locomotion, whole-body, mobile manipulation, and humanoids",REFERENCE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[""locomotion""],""modality"":[],""control_level"":[""feedback_control""],""setting"":[""real_time""],""embodiment"":[""humanoid""]}",FULL_TEXT_CHECKED,N/A,recorded,identified,paper_specific,https://doi.org/10.1109/ROBOT.2002.1013335,not_released,not_recorded,metric:success-rate,"A Realtime Pattern Generator for Biped Walking is retained as REFERENCE because it provides a reusable formulation or system primitive around Robotics, humanoid, bipedal locomotion for targeted comparison in Locomotion, whole-body, mobile manipulation, and humanoids; it is not required for the current intensive reading spine.","Important on-demand reference, but not required in the current intensive sequence.",[],0,./2002/ICRA/2002_ICRA_A-Realtime-Pattern-Generator-for-Biped-Walking/01_overview.md
pr-0553,D* Lite,2002,AAAI,conference,peer_reviewed,Robotics Foundations: Planning and Control,Planning and control,REFERENCE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[""navigation""],""modality"":[],""control_level"":[""feedback_control"",""motion_planning""],""setting"":[],""embodiment"":[""mobile""]}",FULL_TEXT_CHECKED,N/A,recorded,source_only,paper_specific,https://idm-lab.org/bib/abstracts/Koen02e.html,not_released,not_recorded,metric:map,"D* Lite is retained as REFERENCE because it provides a reusable formulation or system primitive around Robotics, path planning, incremental search for targeted comparison in Planning and control; it is not required for the current intensive reading spine.","Important on-demand reference, but not required in the current intensive sequence.",[],0,./2002/AAAI/2002_AAAI_D-Lite/01_overview.md
pr-0554,FastSLAM: A Factored Solution to the Simultaneous Localization and Mapping Problem,2002,AAAI,conference,peer_reviewed,"3D Geometry, Reconstruction, and SLAM",Robotics-enabling 3D perception,REFERENCE,,method,"{""learning"":[],""interaction"":[""navigation""],""modality"":[""point_cloud""],""control_level"":[""state_estimation""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,N/A,recorded,source_only,paper_specific,https://www.cs.cmu.edu/~thrun/papers/montemerlo.fastslam-tr.html,not_released,not_recorded,metric:map,"FastSLAM: A Factored Solution to the Simultaneous Localization and Mapping Problem is retained as REFERENCE because it provides an algorithmic or policy mechanism around Robotics, SLAM, particle filter for targeted comparison in Robotics-enabling 3D perception; it is not required for the current intensive reading spine.","Important on-demand reference, but not required in the current intensive sequence.",[],0,./2002/AAAI/2002_AAAI_FastSLAM-A-Factored-Solution-to-the-Simultaneous-Localizat/01_overview.md
pr-0828,Biped Walking Pattern Generation by using Preview Control of Zero-Moment Point,2003,ICRA,conference,peer_reviewed,"Locomotion, Whole-Body, and Mobile Manipulation","Locomotion, whole-body, mobile manipulation, and humanoids",CORE,,method,"{""learning"":[],""interaction"":[""grasping"",""locomotion"",""whole_body""],""modality"":[],""control_level"":[""feedback_control"",""whole_body""],""setting"":[],""embodiment"":[""arm"",""humanoid"",""mobile""]}",FULL_TEXT_CHECKED,UNREAD,recorded,identified,paper_specific,https://doi.org/10.1109/ROBOT.2003.1241826,not_identified,not_recorded,,"ZMP preview control 기반 humanoid walking의 대표 foundation으로, 학습 기반 locomotion과 model-based gait control을 비교하는 기준점이다.","Common foundation and prerequisite for the Locomotion, whole-body, mobile manipulation, and humanoids spine.",[],0,./2003/ICRA/2003_ICRA_Biped-Walking-Pattern-Generation-by-using-Preview-Control/01_overview.md
pr-0629,Apprenticeship Learning via Inverse Reinforcement Learning,2004,ICML,conference,peer_reviewed,Robotics Foundations: Robot Learning,"RL, IL, offline learning, and robot data",REFERENCE,,foundation,"{""learning"":[""imitation_learning"",""reinforcement_learning""],""interaction"":[""contact_rich""],""modality"":[""force_torque""],""control_level"":[""policy""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,N/A,recorded,source_only,paper_specific,https://ai.stanford.edu/~pabbeel/irl/,project_only,not_recorded,code:21d1a993adc6;metric:success-rate,"Apprenticeship Learning via Inverse Reinforcement Learning is retained as REFERENCE because it provides a reusable formulation or system primitive around Robotics, Imitation Learning, inverse reinforcement learning for targeted comparison in RL, IL, offline learning, and robot data; it is not required for the current intensive reading spine.","Important on-demand reference, but not required in the current intensive sequence.",[],0,./2004/ICML/2004_ICML_Apprenticeship-Learning-via-Inverse-Reinforcement-Learning/01_overview.md
pr-0592,Synthesis of Whole-Body Behaviors through Hierarchical Control of Behavioral Primitives,2005,IJHR,journal,peer_reviewed,Robotics Foundations: Planning and Control,"Locomotion, whole-body, mobile manipulation, and humanoids",REFERENCE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[""whole_body""],""modality"":[],""control_level"":[""feedback_control"",""whole_body""],""setting"":[],""embodiment"":[""humanoid""]}",FULL_TEXT_CHECKED,N/A,recorded,source_only,paper_specific,https://ai.stanford.edu/~lsentis/files/publications.html,project_only,not_recorded,code:f9ad39ff5327;metric:success-rate,"Synthesis of Whole-Body Behaviors through Hierarchical Control of Behavioral Primitives is retained as REFERENCE because it provides a reusable formulation or system primitive around Robotics, humanoid, whole-body control for targeted comparison in Locomotion, whole-body, mobile manipulation, and humanoids; it is not required for the current intensive reading spine.","Important on-demand reference, but not required in the current intensive sequence.",[],0,./2005/IJHR/2005_IJHR_Synthesis-of-Whole-Body-Behaviors-through-Hierarchical-Con/01_overview.md
pr-0525,PTAM: Parallel Tracking and Mapping for Small AR Workspaces,2007,ISMAR,conference,peer_reviewed,"3D Geometry, Reconstruction, and SLAM",Robotics-enabling 3D perception,REFERENCE,,method,"{""learning"":[],""interaction"":[""navigation""],""modality"":[""point_cloud"",""rgb""],""control_level"":[""state_estimation""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,N/A,recorded,source_only,paper_specific,https://www.robots.ox.ac.uk/~gk/PTAM/,project_only,not_recorded,code:0856cd758aac;metric:map,"PTAM: Parallel Tracking and Mapping for Small AR Workspaces is retained as REFERENCE because it provides an algorithmic or policy mechanism around 3D Vision, SLAM, geometry for targeted comparison in Robotics-enabling 3D perception; it is not required for the current intensive reading spine.","Important on-demand reference, but not required in the current intensive sequence.",[],1,./2007/ISMAR/2007_ISMAR_PTAM-Parallel-Tracking-and-Mapping-for-Small-AR-Workspaces/01_overview.md
pr-0630,Maximum Entropy Inverse Reinforcement Learning,2008,AAAI,conference,peer_reviewed,Robotics Foundations: Robot Learning,"RL, IL, offline learning, and robot data",REFERENCE,,foundation,"{""learning"":[""imitation_learning"",""reinforcement_learning""],""interaction"":[""contact_rich""],""modality"":[""force_torque""],""control_level"":[""policy""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,N/A,recorded,source_only,paper_specific,https://www.cs.cmu.edu/~bziebart/publications/maximum-entropy-inverse-reinforcement-learning.html,not_released,not_recorded,metric:success-rate,"Maximum Entropy Inverse Reinforcement Learning is retained as REFERENCE because it provides a reusable formulation or system primitive around Robotics, inverse reinforcement learning, maximum entropy for targeted comparison in RL, IL, offline learning, and robot data; it is not required for the current intensive reading spine.","Important on-demand reference, but not required in the current intensive sequence.",[],0,./2008/AAAI/2008_AAAI_Maximum-Entropy-Inverse-Reinforcement-Learning/01_overview.md
pr-0555,CHOMP: Gradient Optimization Techniques for Efficient Motion Planning,2009,ICRA,conference,peer_reviewed,Robotics Foundations: Planning and Control,Planning and control,CORE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[""grasping""],""modality"":[],""control_level"":[""feedback_control"",""motion_planning""],""setting"":[],""embodiment"":[""arm""]}",FULL_TEXT_CHECKED,UNREAD,recorded,source_only,paper_specific,https://www.ri.cmu.edu/publications/chomp-gradient-optimization-techniques-for-efficient-motion-planning/,project_only,not_recorded,code:88d4b6e992e6;metric:map,"CHOMP: Gradient Optimization Techniques for Efficient Motion Planning is a CORE prerequisite because it establishes a reusable formulation or system primitive around Robotics, motion planning, trajectory optimization, providing a reference point for Planning and control comparisons in the observation-to-action loop.",Common foundation and prerequisite for the Planning and control spine.,[],0,./2009/ICRA/2009_ICRA_CHOMP-Gradient-Optimization-Techniques-for-Efficient-Motio/01_overview.md
pr-0522,A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning,2011,AISTATS,conference,peer_reviewed,Robotics Foundations: Robot Learning,"RL, IL, offline learning, and robot data",CORE,,foundation,"{""learning"":[""imitation_learning""],""interaction"":[],""modality"":[],""control_level"":[""policy""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,UNREAD,recorded,source_only,paper_specific,https://www.ri.cmu.edu/publications/a-reduction-of-imitation-learning-and-structured-prediction-to-no-regret-online-learning/,not_identified,not_recorded,metric:success-rate,"A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning is a CORE prerequisite because it establishes a reusable formulation or system primitive around Robotics, Imitation Learning, policy learning, providing a reference point for RL, IL, offline learning, and robot data comparisons in the observation-to-action loop.","Common foundation and prerequisite for the RL, IL, offline learning, and robot data spine.",[],1,./2011/AISTATS/2011_AISTATS_A-Reduction-of-Imitation-Learning-and-Structured-Predictio/01_overview.md
pr-0829,Hierarchical Task and Motion Planning in the Now,2011,ICRA,conference,peer_reviewed,Robotics Foundations: Planning and Control,"Manipulation, contact, tactile, and dexterity",REFERENCE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[""grasping""],""modality"":[],""control_level"":[""feedback_control"",""motion_planning""],""setting"":[],""embodiment"":[""arm""]}",FULL_TEXT_CHECKED,N/A,recorded,identified,paper_specific,https://doi.org/10.1109/ICRA.2011.5980391,not_identified,not_recorded,,symbolic task choice와 geometric motion feasibility를 계층적으로 연결한 초기 TAMP 대표작이다.,"Important on-demand reference, but not required in the current intensive sequence.",[],0,./2011/ICRA/2011_ICRA_Hierarchical-Task-and-Motion-Planning-in-the-Now/01_overview.md
pr-0489,KinectFusion: Real-Time Dense Surface Mapping and Tracking,2011,ISMAR,conference,peer_reviewed,"3D Geometry, Reconstruction, and SLAM",Robotics-enabling 3D perception,REFERENCE,,method,"{""learning"":[],""interaction"":[""navigation""],""modality"":[""depth"",""point_cloud"",""rgb""],""control_level"":[""state_estimation""],""setting"":[""real_time""],""embodiment"":[]}",FULL_TEXT_CHECKED,N/A,recorded,source_only,paper_specific,https://www.microsoft.com/en-us/research/publication/kinectfusion-real-time-dense-surface-mapping-and-tracking/,not_released,not_recorded,metric:map,"KinectFusion: Real-Time Dense Surface Mapping and Tracking is retained as REFERENCE because it provides an algorithmic or policy mechanism around 3D Vision, SLAM, RGB-D for targeted comparison in Robotics-enabling 3D perception; it is not required for the current intensive reading spine.","Important on-demand reference, but not required in the current intensive sequence.",[],0,./2011/ISMAR/2011_ISMAR_KinectFusion-Real-Time-Dense-Surface-Mapping-and-Tracking/01_overview.md
pr-0830,PILCO: A Model-Based and Data-Efficient Approach to Policy Search,2011,ICML,conference,peer_reviewed,Robotics Foundations: Robot Learning,"RL, IL, offline learning, and robot data",CORE,,foundation,"{""learning"":[""reinforcement_learning""],""interaction"":[""contact_rich""],""modality"":[""force_torque""],""control_level"":[""policy""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,UNREAD,recorded,source_only,paper_specific,https://www.deisenroth.cc/publication/deisenroth-2011-c/,not_identified,not_recorded,metric:success-rate,robot data efficiency를 uncertainty-aware learned dynamics와 policy search로 해결한 대표 model-based RL foundation이다.,"Common foundation and prerequisite for the RL, IL, offline learning, and robot data spine.",[],0,./2011/ICML/2011_ICML_PILCO-A-Model-Based-and-Data-Efficient-Approach-to-Policy/01_overview.md
pr-0557,Sampling-based Algorithms for Optimal Motion Planning,2011,IJRR,journal,peer_reviewed,Robotics Foundations: Planning and Control,Planning and control,REFERENCE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[],""modality"":[],""control_level"":[""feedback_control"",""motion_planning""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,N/A,recorded,identified,paper_specific,https://arxiv.org/abs/1105.1186,project_only,not_recorded,code:e6f6b6a85014,"Sampling-based Algorithms for Optimal Motion Planning is retained as REFERENCE because it provides a reusable formulation or system primitive around Robotics, motion planning, RRT* for targeted comparison in Planning and control; it is not required for the current intensive reading spine.","Important on-demand reference, but not required in the current intensive sequence.",[],0,./2011/IJRR/2011_IJRR_Sampling-based-Algorithms-for-Optimal-Motion-Planning/01_overview.md
pr-0556,STOMP: Stochastic Trajectory Optimization for Motion Planning,2011,ICRA,conference,peer_reviewed,Robotics Foundations: Planning and Control,Planning and control,REFERENCE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[],""modality"":[],""control_level"":[""feedback_control"",""motion_planning""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,N/A,recorded,identified,paper_specific,https://doi.org/10.1109/ICRA.2011.5980280,project_only,not_recorded,code:72ca13b24556,"STOMP: Stochastic Trajectory Optimization for Motion Planning is retained as REFERENCE because it provides a reusable formulation or system primitive around Robotics, motion planning, trajectory optimization for targeted comparison in Planning and control; it is not required for the current intensive reading spine.","Important on-demand reference, but not required in the current intensive sequence.",[],0,./2011/ICRA/2011_ICRA_STOMP-Stochastic-Trajectory-Optimization-for-Motion-Planni/01_overview.md
pr-0831,MuJoCo: A Physics Engine for Model-Based Control,2012,IROS,conference,peer_reviewed,Benchmarks and Datasets,Planning and control,CORE,,benchmark_or_dataset,"{""learning"":[],""interaction"":[],""modality"":[],""control_level"":[""feedback_control""],""setting"":[""simulation""],""embodiment"":[]}",FULL_TEXT_CHECKED,UNREAD,recorded,identified,paper_specific,https://doi.org/10.1109/IROS.2012.6386109,project_only,not_recorded,code:67ccf3b10060,continuous contact dynamics와 efficient simulation을 제공해 modern robot RL/control benchmark의 공통 인프라가 된 foundation system이다.,Common foundation and prerequisite for the Planning and control spine.,[],0,./2012/IROS/2012_IROS_MuJoCo-A-Physics-Engine-for-Model-Based-Control/01_overview.md
pr-0666,Dynamic Whole-Body Motion Generation under Rigid Contacts and Other Unilateral Constraints,2013,T-RO,journal,peer_reviewed,Robotics Foundations: Contact and Whole-Body Control,Planning and control,CORE,,foundation,"{""learning"":[],""interaction"":[""contact_rich"",""whole_body""],""modality"":[],""control_level"":[""feedback_control"",""whole_body""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,UNREAD,recorded,source_only,paper_specific,https://hal.science/lirmm-00831097,not_released,not_recorded,,"Dynamic Whole-Body Motion Generation under Rigid Contacts and Other Unilateral Constraints is a CORE prerequisite because it establishes a reusable formulation or system primitive around Robotics, whole-body control, rigid contact, providing a reference point for Planning and control comparisons in the observation-to-action loop.",Common foundation and prerequisite for the Planning and control spine.,[],0,./2013/T-RO/2013_T-RO_Dynamic-Whole-Body-Motion-Generation-under-Rigid-Contacts/01_overview.md
